species,island,bill_length,bill_depth,flipper_length,body_mass,sex,year
Adelie,Torgersen,3.91,1.8699999999999999,18.1,3.75,male,2007
Adelie,Torgersen,3.95,1.7399999999999998,18.6,3.8,female,2007
Adelie,Torgersen,4.029999999999999,1.8,19.5,3.25,female,2007
Adelie,Torgersen,,,,,,2007
Adelie,Torgersen,3.6700000000000004,1.9300000000000002,19.3,3.45,female,2007
Adelie,Torgersen,3.9299999999999997,2.06,19.0,3.65,male,2007
Adelie,Torgersen,3.8899999999999997,1.78,18.1,3.625,female,2007
Adelie,Torgersen,3.9200000000000004,1.9600000000000002,19.5,4.675,male,2007
Adelie,Torgersen,3.41,1.81,19.3,3.475,,2007
Adelie,Torgersen,4.2,2.02,19.0,4.25,,2007
Adelie,Torgersen,3.78,1.7100000000000002,18.6,3.3,,2007
Adelie,Torgersen,3.78,1.73,18.0,3.7,,2007
Adelie,Torgersen,4.11,1.7600000000000002,18.2,3.2,female,2007
Adelie,Torgersen,3.8600000000000003,2.12,19.1,3.8,male,2007
Adelie,Torgersen,3.46,2.1100000000000003,19.8,4.4,male,2007
Adelie,Torgersen,3.66,1.78,18.5,3.7,female,2007
Adelie,Torgersen,3.87,1.9,19.5,3.45,female,2007
Adelie,Torgersen,4.25,2.07,19.7,4.5,male,2007
Adelie,Torgersen,3.44,1.8399999999999999,18.4,3.325,female,2007
Adelie,Torgersen,4.6,2.15,19.4,4.2,male,2007
Adelie,Biscoe,3.78,1.83,17.4,3.4,female,2007
Adelie,Biscoe,3.7700000000000005,1.8699999999999999,18.0,3.6,male,2007
Adelie,Biscoe,3.59,1.92,18.9,3.8,female,2007
Adelie,Biscoe,3.8200000000000003,1.81,18.5,3.95,male,2007
Adelie,Biscoe,3.88,1.72,18.0,3.8,male,2007
Adelie,Biscoe,3.53,1.89,18.7,3.8,female,2007
Adelie,Biscoe,4.0600000000000005,1.86,18.3,3.55,male,2007
Adelie,Biscoe,4.05,1.7899999999999998,18.7,3.2,female,2007
Adelie,Biscoe,3.79,1.86,17.2,3.15,female,2007
Adelie,Biscoe,4.05,1.89,18.0,3.95,male,2007
Adelie,Dream,3.95,1.67,17.8,3.25,female,2007
Adelie,Dream,3.72,1.81,17.8,3.9,male,2007
Adelie,Dream,3.95,1.78,18.8,3.3,female,2007
Adelie,Dream,4.09,1.89,18.4,3.9,male,2007
Adelie,Dream,3.6399999999999997,1.7,19.5,3.325,female,2007
Adelie,Dream,3.9200000000000004,2.1100000000000003,19.6,4.15,male,2007
Adelie,Dream,3.88,2.0,19.0,3.95,male,2007
Adelie,Dream,4.220000000000001,1.85,18.0,3.55,female,2007
Adelie,Dream,3.7600000000000002,1.9300000000000002,18.1,3.3,female,2007
Adelie,Dream,3.9799999999999995,1.9100000000000001,18.4,4.65,male,2007
Adelie,Dream,3.65,1.8,18.2,3.15,female,2007
Adelie,Dream,4.08,1.8399999999999999,19.5,3.9,male,2007
Adelie,Dream,3.6,1.85,18.6,3.1,female,2007
Adelie,Dream,4.41,1.97,19.6,4.4,male,2007
Adelie,Dream,3.7,1.69,18.5,3.0,female,2007
Adelie,Dream,3.96,1.8800000000000001,19.0,4.6,male,2007
Adelie,Dream,4.11,1.9,18.2,3.425,male,2007
Adelie,Dream,3.75,1.89,17.9,2.975,,2007
Adelie,Dream,3.6,1.7899999999999998,19.0,3.45,female,2007
Adelie,Dream,4.2299999999999995,2.12,19.1,4.15,male,2007
Adelie,Biscoe,3.96,1.77,18.6,3.5,female,2008
Adelie,Biscoe,4.01,1.89,18.8,4.3,male,2008
Adelie,Biscoe,3.5,1.7899999999999998,19.0,3.45,female,2008
Adelie,Biscoe,4.2,1.95,20.0,4.05,male,2008
Adelie,Biscoe,3.45,1.81,18.7,2.9,female,2008
Adelie,Biscoe,4.14,1.86,19.1,3.7,male,2008
Adelie,Biscoe,3.9,1.75,18.6,3.55,female,2008
Adelie,Biscoe,4.0600000000000005,1.8800000000000001,19.3,3.8,male,2008
Adelie,Biscoe,3.65,1.6600000000000001,18.1,2.85,female,2008
Adelie,Biscoe,3.7600000000000002,1.9100000000000001,19.4,3.75,male,2008
Adelie,Biscoe,3.5700000000000003,1.69,18.5,3.15,female,2008
Adelie,Biscoe,4.13,2.1100000000000003,19.5,4.4,male,2008
Adelie,Biscoe,3.7600000000000002,1.7,18.5,3.6,female,2008
Adelie,Biscoe,4.11,1.8199999999999998,19.2,4.05,male,2008
Adelie,Biscoe,3.6399999999999997,1.7100000000000002,18.4,2.85,female,2008
Adelie,Biscoe,4.16,1.8,19.2,3.95,male,2008
Adelie,Biscoe,3.55,1.6199999999999999,19.5,3.35,female,2008
Adelie,Biscoe,4.11,1.9100000000000001,18.8,4.1,male,2008
Adelie,Torgersen,3.59,1.6600000000000001,19.0,3.05,female,2008
Adelie,Torgersen,4.18,1.94,19.8,4.45,male,2008
Adelie,Torgersen,3.35,1.9,19.0,3.6,female,2008
Adelie,Torgersen,3.97,1.8399999999999999,19.0,3.9,male,2008
Adelie,Torgersen,3.96,1.72,19.6,3.55,female,2008
Adelie,Torgersen,4.58,1.89,19.7,4.15,male,2008
Adelie,Torgersen,3.55,1.75,19.0,3.7,female,2008
Adelie,Torgersen,4.279999999999999,1.85,19.5,4.25,male,2008
Adelie,Torgersen,4.09,1.6800000000000002,19.1,3.7,female,2008
Adelie,Torgersen,3.72,1.94,18.4,3.9,male,2008
Adelie,Torgersen,3.62,1.61,18.7,3.55,female,2008
Adelie,Torgersen,4.21,1.9100000000000001,19.5,4.0,male,2008
Adelie,Torgersen,3.46,1.72,18.9,3.2,female,2008
Adelie,Torgersen,4.29,1.7600000000000002,19.6,4.7,male,2008
Adelie,Torgersen,3.6700000000000004,1.8800000000000001,18.7,3.8,female,2008
Adelie,Torgersen,3.5100000000000002,1.94,19.3,4.2,male,2008
Adelie,Dream,3.7299999999999995,1.78,19.1,3.35,female,2008
Adelie,Dream,4.13,2.0300000000000002,19.4,3.55,male,2008
Adelie,Dream,3.63,1.95,19.0,3.8,male,2008
Adelie,Dream,3.69,1.86,18.9,3.5,female,2008
Adelie,Dream,3.8299999999999996,1.92,18.9,3.95,male,2008
Adelie,Dream,3.8899999999999997,1.8800000000000001,19.0,3.6,female,2008
Adelie,Dream,3.5700000000000003,1.8,20.2,3.55,female,2008
Adelie,Dream,4.11,1.81,20.5,4.3,male,2008
Adelie,Dream,3.4,1.7100000000000002,18.5,3.4,female,2008
Adelie,Dream,3.96,1.81,18.6,4.45,male,2008
Adelie,Dream,3.62,1.73,18.7,3.3,female,2008
Adelie,Dream,4.08,1.89,20.8,4.3,male,2008
Adelie,Dream,3.81,1.86,19.0,3.7,female,2008
Adelie,Dream,4.029999999999999,1.85,19.6,4.35,male,2008
Adelie,Dream,3.31,1.61,17.8,2.9,female,2008
Adelie,Dream,4.32,1.85,19.2,4.1,male,2008
Adelie,Biscoe,3.5,1.7899999999999998,19.2,3.725,female,2009
Adelie,Biscoe,4.1,2.0,20.3,4.725,male,2009
Adelie,Biscoe,3.7700000000000005,1.6,18.3,3.075,female,2009
Adelie,Biscoe,3.78,2.0,19.0,4.25,male,2009
Adelie,Biscoe,3.79,1.86,19.3,2.925,female,2009
Adelie,Biscoe,3.97,1.89,18.4,3.55,male,2009
Adelie,Biscoe,3.8600000000000003,1.72,19.9,3.75,female,2009
Adelie,Biscoe,3.8200000000000003,2.0,19.0,3.9,male,2009
Adelie,Biscoe,3.81,1.7,18.1,3.175,female,2009
Adelie,Biscoe,4.32,1.9,19.7,4.775,male,2009
Adelie,Biscoe,3.81,1.65,19.8,3.825,female,2009
Adelie,Biscoe,4.5600000000000005,2.0300000000000002,19.1,4.6,male,2009
Adelie,Biscoe,3.97,1.77,19.3,3.2,female,2009
Adelie,Biscoe,4.220000000000001,1.95,19.7,4.275,male,2009
Adelie,Biscoe,3.96,2.07,19.1,3.9,female,2009
Adelie,Biscoe,4.2700000000000005,1.83,19.6,4.075,male,2009
Adelie,Torgersen,3.8600000000000003,1.7,18.8,2.9,female,2009
Adelie,Torgersen,3.7299999999999995,2.05,19.9,3.775,male,2009
Adelie,Torgersen,3.5700000000000003,1.7,18.9,3.35,female,2009
Adelie,Torgersen,4.11,1.86,18.9,3.325,male,2009
Adelie,Torgersen,3.62,1.72,18.7,3.15,female,2009
Adelie,Torgersen,3.7700000000000005,1.98,19.8,3.5,male,2009
Adelie,Torgersen,4.0200000000000005,1.7,17.6,3.45,female,2009
Adelie,Torgersen,4.14,1.85,20.2,3.875,male,2009
Adelie,Torgersen,3.5200000000000005,1.59,18.6,3.05,female,2009
Adelie,Torgersen,4.0600000000000005,1.9,19.9,4.0,male,2009
Adelie,Torgersen,3.88,1.7600000000000002,19.1,3.275,female,2009
Adelie,Torgersen,4.15,1.83,19.5,4.3,male,2009
Adelie,Torgersen,3.9,1.7100000000000002,19.1,3.05,female,2009
Adelie,Torgersen,4.41,1.8,21.0,4.0,male,2009
Adelie,Torgersen,3.85,1.7899999999999998,19.0,3.325,female,2009
Adelie,Torgersen,4.3100000000000005,1.92,19.7,3.5,male,2009
Adelie,Dream,3.6799999999999997,1.85,19.3,3.5,female,2009
Adelie,Dream,3.75,1.85,19.9,4.475,male,2009
Adelie,Dream,3.81,1.7600000000000002,18.7,3.425,female,2009
Adelie,Dream,4.11,1.75,19.0,3.9,male,2009
Adelie,Dream,3.56,1.75,19.1,3.175,female,2009
Adelie,Dream,4.0200000000000005,2.0100000000000002,20.0,3.975,male,2009
Adelie,Dream,3.7,1.65,18.5,3.4,female,2009
Adelie,Dream,3.97,1.7899999999999998,19.3,4.25,male,2009
Adelie,Dream,4.0200000000000005,1.7100000000000002,19.3,3.4,female,2009
Adelie,Dream,4.0600000000000005,1.72,18.7,3.475,male,2009
Adelie,Dream,3.21,1.55,18.8,3.05,female,2009
Adelie,Dream,4.07,1.7,19.0,3.725,male,2009
Adelie,Dream,3.7299999999999995,1.6800000000000002,19.2,3.0,female,2009
Adelie,Dream,3.9,1.8699999999999999,18.5,3.65,male,2009
Adelie,Dream,3.9200000000000004,1.86,19.0,4.25,male,2009
Adelie,Dream,3.66,1.8399999999999999,18.4,3.475,female,2009
Adelie,Dream,3.6,1.78,19.5,3.45,female,2009
Adelie,Dream,3.78,1.81,19.3,3.75,male,2009
Adelie,Dream,3.6,1.7100000000000002,18.7,3.7,female,2009
Adelie,Dream,4.15,1.85,20.1,4.0,male,2009
Gentoo,Biscoe,4.61,1.3199999999999998,21.1,4.5,female,2007
Gentoo,Biscoe,5.0,1.6300000000000001,23.0,5.7,male,2007
Gentoo,Biscoe,4.87,1.41,21.0,4.45,female,2007
Gentoo,Biscoe,5.0,1.52,21.8,5.7,male,2007
Gentoo,Biscoe,4.76,1.45,21.5,5.4,male,2007
Gentoo,Biscoe,4.65,1.35,21.0,4.55,female,2007
Gentoo,Biscoe,4.54,1.46,21.1,4.8,female,2007
Gentoo,Biscoe,4.67,1.53,21.9,5.2,male,2007
Gentoo,Biscoe,4.33,1.34,20.9,4.4,female,2007
Gentoo,Biscoe,4.68,1.54,21.5,5.15,male,2007
Gentoo,Biscoe,4.09,1.3699999999999999,21.4,4.65,female,2007
Gentoo,Biscoe,4.9,1.61,21.6,5.55,male,2007
Gentoo,Biscoe,4.55,1.3699999999999999,21.4,4.65,female,2007
Gentoo,Biscoe,4.84,1.46,21.3,5.85,male,2007
Gentoo,Biscoe,4.58,1.46,21.0,4.2,female,2007
Gentoo,Biscoe,4.93,1.5699999999999998,21.7,5.85,male,2007
Gentoo,Biscoe,4.2,1.35,21.0,4.15,female,2007
Gentoo,Biscoe,4.92,1.52,22.1,6.3,male,2007
Gentoo,Biscoe,4.62,1.45,20.9,4.8,female,2007
Gentoo,Biscoe,4.87,1.51,22.2,5.35,male,2007
Gentoo,Biscoe,5.0200000000000005,1.4300000000000002,21.8,5.7,male,2007
Gentoo,Biscoe,4.51,1.45,21.5,5.0,female,2007
Gentoo,Biscoe,4.65,1.45,21.3,4.4,female,2007
Gentoo,Biscoe,4.63,1.58,21.5,5.05,male,2007
Gentoo,Biscoe,4.29,1.31,21.5,5.0,female,2007
Gentoo,Biscoe,4.61,1.51,21.5,5.1,male,2007
Gentoo,Biscoe,4.45,1.4300000000000002,21.6,4.1,,2007
Gentoo,Biscoe,4.779999999999999,1.5,21.5,5.65,male,2007
Gentoo,Biscoe,4.82,1.4300000000000002,21.0,4.6,female,2007
Gentoo,Biscoe,5.0,1.53,22.0,5.55,male,2007
Gentoo,Biscoe,4.7299999999999995,1.53,22.2,5.25,male,2007
Gentoo,Biscoe,4.279999999999999,1.42,20.9,4.7,female,2007
Gentoo,Biscoe,4.51,1.45,20.7,5.05,female,2007
Gentoo,Biscoe,5.96,1.7,23.0,6.05,male,2007
Gentoo,Biscoe,4.91,1.48,22.0,5.15,female,2008
Gentoo,Biscoe,4.84,1.6300000000000001,22.0,5.4,male,2008
Gentoo,Biscoe,4.26,1.3699999999999999,21.3,4.95,female,2008
Gentoo,Biscoe,4.4399999999999995,1.73,21.9,5.25,male,2008
Gentoo,Biscoe,4.4,1.3599999999999999,20.8,4.35,female,2008
Gentoo,Biscoe,4.87,1.5699999999999998,20.8,5.35,male,2008
Gentoo,Biscoe,4.2700000000000005,1.3699999999999999,20.8,3.95,female,2008
Gentoo,Biscoe,4.96,1.6,22.5,5.7,male,2008
Gentoo,Biscoe,4.529999999999999,1.3699999999999999,21.0,4.3,female,2008
Gentoo,Biscoe,4.96,1.5,21.6,4.75,male,2008
Gentoo,Biscoe,5.05,1.59,22.2,5.55,male,2008
Gentoo,Biscoe,4.36,1.3900000000000001,21.7,4.9,female,2008
Gentoo,Biscoe,4.55,1.3900000000000001,21.0,4.2,female,2008
Gentoo,Biscoe,5.05,1.59,22.5,5.4,male,2008
Gentoo,Biscoe,4.49,1.33,21.3,5.1,female,2008
Gentoo,Biscoe,4.5200000000000005,1.58,21.5,5.3,male,2008
Gentoo,Biscoe,4.66,1.42,21.0,4.85,female,2008
Gentoo,Biscoe,4.85,1.41,22.0,5.3,male,2008
Gentoo,Biscoe,4.51,1.44,21.0,4.4,female,2008
Gentoo,Biscoe,5.01,1.5,22.5,5.0,male,2008
Gentoo,Biscoe,4.65,1.44,21.7,4.9,female,2008
Gentoo,Biscoe,4.5,1.54,22.0,5.05,male,2008
Gentoo,Biscoe,4.38,1.3900000000000001,20.8,4.3,female,2008
Gentoo,Biscoe,4.55,1.5,22.0,5.0,male,2008
Gentoo,Biscoe,4.32,1.45,20.8,4.45,female,2008
Gentoo,Biscoe,5.04,1.53,22.4,5.55,male,2008
Gentoo,Biscoe,4.529999999999999,1.3800000000000001,20.8,4.2,female,2008
Gentoo,Biscoe,4.62,1.49,22.1,5.3,male,2008
Gentoo,Biscoe,4.57,1.3900000000000001,21.4,4.4,female,2008
Gentoo,Biscoe,5.43,1.5699999999999998,23.1,5.65,male,2008
Gentoo,Biscoe,4.58,1.42,21.9,4.7,female,2008
Gentoo,Biscoe,4.9799999999999995,1.6800000000000002,23.0,5.7,male,2008
Gentoo,Biscoe,4.62,1.44,21.4,4.65,,2008
Gentoo,Biscoe,4.95,1.6199999999999999,22.9,5.8,male,2008
Gentoo,Biscoe,4.35,1.42,22.0,4.7,female,2008
Gentoo,Biscoe,5.07,1.5,22.3,5.55,male,2008
Gentoo,Biscoe,4.7700000000000005,1.5,21.6,4.75,female,2008
Gentoo,Biscoe,4.64,1.56,22.1,5.0,male,2008
Gentoo,Biscoe,4.82,1.56,22.1,5.1,male,2008
Gentoo,Biscoe,4.65,1.48,21.7,5.2,female,2008
Gentoo,Biscoe,4.64,1.5,21.6,4.7,female,2008
Gentoo,Biscoe,4.86,1.6,23.0,5.8,male,2008
Gentoo,Biscoe,4.75,1.42,20.9,4.6,female,2008
Gentoo,Biscoe,5.11,1.6300000000000001,22.0,6.0,male,2008
Gentoo,Biscoe,4.5200000000000005,1.3800000000000001,21.5,4.75,female,2008
Gentoo,Biscoe,4.5200000000000005,1.64,22.3,5.95,male,2008
Gentoo,Biscoe,4.91,1.45,21.2,4.625,female,2009
Gentoo,Biscoe,5.25,1.56,22.1,5.45,male,2009
Gentoo,Biscoe,4.74,1.46,21.2,4.725,female,2009
Gentoo,Biscoe,5.0,1.59,22.4,5.35,male,2009
Gentoo,Biscoe,4.49,1.3800000000000001,21.2,4.75,female,2009
Gentoo,Biscoe,5.08,1.73,22.8,5.6,male,2009
Gentoo,Biscoe,4.34,1.44,21.8,4.6,female,2009
Gentoo,Biscoe,5.13,1.42,21.8,5.3,male,2009
Gentoo,Biscoe,4.75,1.4,21.2,4.875,female,2009
Gentoo,Biscoe,5.21,1.7,23.0,5.55,male,2009
Gentoo,Biscoe,4.75,1.5,21.8,4.95,female,2009
Gentoo,Biscoe,5.220000000000001,1.7100000000000002,22.8,5.4,male,2009
Gentoo,Biscoe,4.55,1.45,21.2,4.75,female,2009
Gentoo,Biscoe,4.95,1.61,22.4,5.65,male,2009
Gentoo,Biscoe,4.45,1.47,21.4,4.85,female,2009
Gentoo,Biscoe,5.08,1.5699999999999998,22.6,5.2,male,2009
Gentoo,Biscoe,4.9399999999999995,1.58,21.6,4.925,male,2009
Gentoo,Biscoe,4.6899999999999995,1.46,22.2,4.875,female,2009
Gentoo,Biscoe,4.84,1.44,20.3,4.625,female,2009
Gentoo,Biscoe,5.11,1.65,22.5,5.25,male,2009
Gentoo,Biscoe,4.85,1.5,21.9,4.85,female,2009
Gentoo,Biscoe,5.59,1.7,22.8,5.6,male,2009
Gentoo,Biscoe,4.720000000000001,1.55,21.5,4.975,female,2009
Gentoo,Biscoe,4.91,1.5,22.8,5.5,male,2009
Gentoo,Biscoe,4.7299999999999995,1.3800000000000001,21.6,4.725,,2009
Gentoo,Biscoe,4.68,1.61,21.5,5.5,male,2009
Gentoo,Biscoe,4.17,1.47,21.0,4.7,female,2009
Gentoo,Biscoe,5.34,1.58,21.9,5.5,male,2009
Gentoo,Biscoe,4.33,1.4,20.8,4.575,female,2009
Gentoo,Biscoe,4.8100000000000005,1.51,20.9,5.5,male,2009
Gentoo,Biscoe,5.05,1.52,21.6,5.0,female,2009
Gentoo,Biscoe,4.9799999999999995,1.59,22.9,5.95,male,2009
Gentoo,Biscoe,4.35,1.52,21.3,4.65,female,2009
Gentoo,Biscoe,5.15,1.6300000000000001,23.0,5.5,male,2009
Gentoo,Biscoe,4.62,1.41,21.7,4.375,female,2009
Gentoo,Biscoe,5.51,1.6,23.0,5.85,male,2009
Gentoo,Biscoe,4.45,1.5699999999999998,21.7,4.875,,2009
Gentoo,Biscoe,4.88,1.6199999999999999,22.2,6.0,male,2009
Gentoo,Biscoe,4.720000000000001,1.3699999999999999,21.4,4.925,female,2009
Gentoo,Biscoe,,,,,,2009
Gentoo,Biscoe,4.68,1.4300000000000002,21.5,4.85,female,2009
Gentoo,Biscoe,5.04,1.5699999999999998,22.2,5.75,male,2009
Gentoo,Biscoe,4.5200000000000005,1.48,21.2,5.2,female,2009
Gentoo,Biscoe,4.99,1.61,21.3,5.4,male,2009
Chinstrap,Dream,4.65,1.7899999999999998,19.2,3.5,female,2007
Chinstrap,Dream,5.0,1.95,19.6,3.9,male,2007
Chinstrap,Dream,5.13,1.92,19.3,3.65,male,2007
Chinstrap,Dream,4.54,1.8699999999999999,18.8,3.525,female,2007
Chinstrap,Dream,5.2700000000000005,1.98,19.7,3.725,male,2007
Chinstrap,Dream,4.5200000000000005,1.78,19.8,3.95,female,2007
Chinstrap,Dream,4.61,1.8199999999999998,17.8,3.25,female,2007
Chinstrap,Dream,5.13,1.8199999999999998,19.7,3.75,male,2007
Chinstrap,Dream,4.6,1.89,19.5,4.15,female,2007
Chinstrap,Dream,5.13,1.9899999999999998,19.8,3.7,male,2007
Chinstrap,Dream,4.66,1.78,19.3,3.8,female,2007
Chinstrap,Dream,5.17,2.0300000000000002,19.4,3.775,male,2007
Chinstrap,Dream,4.7,1.73,18.5,3.7,female,2007
Chinstrap,Dream,5.2,1.81,20.1,4.05,male,2007
Chinstrap,Dream,4.59,1.7100000000000002,19.0,3.575,female,2007
Chinstrap,Dream,5.05,1.9600000000000002,20.1,4.05,male,2007
Chinstrap,Dream,5.029999999999999,2.0,19.7,3.3,male,2007
Chinstrap,Dream,5.8,1.78,18.1,3.7,female,2007
Chinstrap,Dream,4.64,1.86,19.0,3.45,female,2007
Chinstrap,Dream,4.92,1.8199999999999998,19.5,4.4,male,2007
Chinstrap,Dream,4.24,1.73,18.1,3.6,female,2007
Chinstrap,Dream,4.85,1.75,19.1,3.4,male,2007
Chinstrap,Dream,4.32,1.6600000000000001,18.7,2.9,female,2007
Chinstrap,Dream,5.0600000000000005,1.94,19.3,3.8,male,2007
Chinstrap,Dream,4.67,1.7899999999999998,19.5,3.3,female,2007
Chinstrap,Dream,5.2,1.9,19.7,4.15,male,2007
Chinstrap,Dream,5.05,1.8399999999999999,20.0,3.4,female,2008
Chinstrap,Dream,4.95,1.9,20.0,3.8,male,2008
Chinstrap,Dream,4.64,1.78,19.1,3.7,female,2008
Chinstrap,Dream,5.279999999999999,2.0,20.5,4.55,male,2008
Chinstrap,Dream,4.09,1.6600000000000001,18.7,3.2,female,2008
Chinstrap,Dream,5.42,2.08,20.1,4.3,male,2008
Chinstrap,Dream,4.25,1.67,18.7,3.35,female,2008
Chinstrap,Dream,5.1,1.8800000000000001,20.3,4.1,male,2008
Chinstrap,Dream,4.970000000000001,1.86,19.5,3.6,male,2008
Chinstrap,Dream,4.75,1.6800000000000002,19.9,3.9,female,2008
Chinstrap,Dream,4.76,1.83,19.5,3.85,female,2008
Chinstrap,Dream,5.2,2.07,21.0,4.8,male,2008
Chinstrap,Dream,4.6899999999999995,1.6600000000000001,19.2,2.7,female,2008
Chinstrap,Dream,5.35,1.9899999999999998,20.5,4.5,male,2008
Chinstrap,Dream,4.9,1.95,21.0,3.95,male,2008
Chinstrap,Dream,4.62,1.75,18.7,3.65,female,2008
Chinstrap,Dream,5.09,1.9100000000000001,19.6,3.55,male,2008
Chinstrap,Dream,4.55,1.7,19.6,3.5,female,2008
Chinstrap,Dream,5.09,1.7899999999999998,19.6,3.675,female,2009
Chinstrap,Dream,5.08,1.85,20.1,4.45,male,2009
Chinstrap,Dream,5.01,1.7899999999999998,19.0,3.4,female,2009
Chinstrap,Dream,4.9,1.9600000000000002,21.2,4.3,male,2009
Chinstrap,Dream,5.15,1.8699999999999999,18.7,3.25,male,2009
Chinstrap,Dream,4.9799999999999995,1.73,19.8,3.675,female,2009
Chinstrap,Dream,4.8100000000000005,1.64,19.9,3.325,female,2009
Chinstrap,Dream,5.14,1.9,20.1,3.95,male,2009
Chinstrap,Dream,4.57,1.73,19.3,3.6,female,2009
Chinstrap,Dream,5.07,1.97,20.3,4.05,male,2009
Chinstrap,Dream,4.25,1.73,18.7,3.35,female,2009
Chinstrap,Dream,5.220000000000001,1.8800000000000001,19.7,3.45,male,2009
Chinstrap,Dream,4.5200000000000005,1.6600000000000001,19.1,3.25,female,2009
Chinstrap,Dream,4.93,1.9899999999999998,20.3,4.05,male,2009
Chinstrap,Dream,5.0200000000000005,1.8800000000000001,20.2,3.8,male,2009
Chinstrap,Dream,4.5600000000000005,1.94,19.4,3.525,female,2009
Chinstrap,Dream,5.1899999999999995,1.95,20.6,3.95,male,2009
Chinstrap,Dream,4.68,1.65,18.9,3.65,female,2009
Chinstrap,Dream,4.57,1.7,19.5,3.65,female,2009
Chinstrap,Dream,5.58,1.98,20.7,4.0,male,2009
Chinstrap,Dream,4.35,1.81,20.2,3.4,female,2009
Chinstrap,Dream,4.96,1.8199999999999998,19.3,3.775,male,2009
Chinstrap,Dream,5.08,1.9,21.0,4.1,male,2009
Chinstrap,Dream,5.0200000000000005,1.8699999999999999,19.8,3.775,female,2009
